Event #,Event Title,Cost Code,Cost Type,Budget Code,Description,Vendor,Contract,UOM,Revenue Unit Qty,Revenue Unit Cost,Revenue ROM,Prime PCO,Latest Price,Cost Unit Qty,Cost Unit Cost,Cost ROM,RFQ,Commitment,Latest Cost,Over / Under,Budget Modification
007,Irrigation System Repair,60-601005.000 - Design Contingency,Material - Material,,,,,,0.0,$0.00,$0.00,"-$4,387.00","-$4,387.00",-1.0,"$4,387.00","-$4,387.00",,,"-$4,387.00",$0.00,
006,ASI 002 - Vertical Grab Bars at Units,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$112.45,$112.45,$112.45,,,,,,0.0,$112.45,
006,ASI 002 - Vertical Grab Bars at Units,60-604000.000 - Fee,Material - Material,,,,,,,,$393.58,$393.58,$393.58,,,,,,0.0,$393.58,
006,ASI 002 - Vertical Grab Bars at Units,10-102800.000 - Toilet and Bath Accessories,Material - Material,,Added 107 vertical grab bars at unit restrooms.,,,ls,1.0,"$11,245.00","$11,245.00","$11,245.00","$11,245.00",1.0,"$11,245.00","$11,245.00",,,"$11,245.00",$0.00,
005,Provide and Install Poles and Power for Site Security,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$212.85,$212.85,$212.85,,,,,,0.0,$212.85,
005,Provide and Install Poles and Power for Site Security,60-604000.000 - Fee,Material - Material,,,,,,,,$744.98,$744.98,$744.98,,,,,,0.0,$744.98,
005,Provide and Install Poles and Power for Site Security,26-260000.000 - Electrical,Subcontract - Subcontract,,Provide and install three poles with 120V power for Per Mar site security cameras.,"Berd Electric, LLC",SC-25-117-260,ls,1.0,"$21,285.00","$21,285.00","$21,285.00","$21,285.00",1.0,"$21,285.00","$21,285.00",,"$21,285.00","$21,285.00",$0.00,
004,RFI 06 PVC Waterpipe ILO Ductile Iron Pipe,33-330000.000 - Utilities,Subcontract - Subcontract,,Credit for using PVC pipe in lieu of ductile iron pipe.,"Minnesota Utilities & Excavating, LLC",SC-25-117-310,ls,-1.0,"$7,500.00","-$7,500.00",,"-$7,500.00",-1.0,"$7,500.00","-$7,500.00",,"-$7,500.00","-$7,500.00",$0.00,
003,Fire Pump Credit,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
003,Fire Pump Credit,60-604000.000 - Fee,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
003,Fire Pump Credit,21-210000.000 - Fire Suppression,Subcontract - Subcontract,,"Credit for the fire pump originally included in the contract, now no longer required.",,,ls,0.0,$0.00,$0.00,"-$42,500.00","-$42,500.00",-1.0,"$42,500.00","-$42,500.00",,,"-$42,500.00",$0.00,
003,Fire Pump Credit,26-260000.000 - Electrical,Subcontract - Subcontract,,"Credit for the electrical wiring for fire pump originally included in the contract, now no longer required.","Berd Electric, LLC",SC-25-117-260,ls,0.0,$0.00,$0.00,"-$12,000.00","-$12,000.00",-1.0,"$12,000.00","-$12,000.00",,"-$12,000.00","-$12,000.00",$0.00,
002,Marketing Office Finishes,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$0.00,$33.21,$33.21,,,,,,0.0,$33.21,
002,Marketing Office Finishes,60-604000.000 - Fee,Material - Material,,,,,,,,$0.00,$116.24,$116.24,,,,,,0.0,$116.24,
002,Marketing Office Finishes,11-113100.000 - Appliances,Material - Material,,Supply undercounter refrigerator,All Inc.,SC-25-117-113,ls,1.0,$495.24,$495.24,$495.24,$495.24,1.0,$495.24,$495.24,,$495.24,$495.24,$0.00,
002,Marketing Office Finishes,9-92116.000 - Gypsum Board Assemblies,Subcontract - Subcontract,, Additional drywall and painting per layout changes,"MCI Paint & Drywall, Inc.",SC-25-117-092,ls,1.0,"$1,326.00","$1,326.00","$1,326.00","$1,326.00",1.0,"$1,326.00","$1,326.00",,"$1,326.00","$1,326.00",$0.00,
002,Marketing Office Finishes,26-260000.000 - Electrical,Subcontract - Subcontract,,Rough ins changed due to layout,"Berd Electric, LLC",SC-25-117-260,ls,1.0,"$1,500.00","$1,500.00","$1,500.00","$1,500.00",1.0,"$1,500.00","$1,500.00",,"$1,500.00","$1,500.00",$0.00,
001,OP3 CD Utility Revisions Allowance Reconcile,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
001,OP3 CD Utility Revisions Allowance Reconcile,60-604000.000 - Fee,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
001,OP3 CD Utility Revisions Allowance Reconcile,33-330000.000 - Utilities,Subcontract - Subcontract,,Reconcile contract allowance for additional water line and tap.,,,ls,-1.0,"$3,140.00","-$3,140.00","-$3,140.00","-$3,140.00",-1.0,"$3,140.00","-$3,140.00",,,"-$3,140.00",$0.00,
